idmeetings,idusers,meeting_name,meeting_date,description,location
1,10,Встреча министров,2024-12-18 00:00:00,Конференция,Москва
2,10,ФЫФЫ,2024-12-20 00:00:00,ЫФВФВФ,ФЫВФВф
3,1,Название встречи,2024-12-11 00:00:00,Встреча,ЛДПК
4,1,Адекватное название,2024-12-06 00:00:00,Мой друг,Дома
5,1,Мероприятие на тему важный человек,2024-12-18 00:00:00,Нас будет около 7 человек,ОЗТ
6,1,Встреча по теме важной бизнес-техники,2024-12-18 00:00:00,Техника	,Москва
7,1,Встреча важная,2024-12-04 00:00:00,С президентом,Москва
9,1,Встреча Очень важная,2024-12-19 00:00:00,Встреча,Встреча
10,2,Meeting,2024-12-02 00:00:00,meting1,LA
11,1,С друзьями,2024-12-06 09:00:00,Идем пить колу,Пятерочка
12,1,Рабочее совещание,2024-12-21 13:00:00,Совещание по проекту X,Москва
13,2,Тихая встреча,2025-01-05 11:00:00,,Уфа
14,3,X,2025-01-15 16:00:00,Тестовое мероприятие,Самара
15,4,Планерка,2025-02-10 10:00:00,"Подробное обсуждение планов на следующие два месяца, включая задачи, сроки и ответственных лиц",Томск
16,6,Общая встреча,2025-02-20 17:00:00,Встреча с заинтересованными сторонами,Челябинск
17,1,Встреча команды,2024-12-25 18:00:00,Командное обсуждение результатов года,Москва
18,2,Презентация,2025-01-10 10:00:00,Презентация нового продукта,Санкт-Петербург
19,3,Бизнес-встреча,2025-01-15 11:00:00,Обсуждение партнерства,Новосибирск
20,4,Рабочий завтрак,2025-01-20 09:00:00,Неофициальное общение,Екатеринбург
21,5,Встреча с клиентами,2025-01-25 14:00:00,Обратная связь по проекту,Казань
22,1,Встреча 1,2024-12-05 09:00:00,Описание встречи 1,Москва
23,2,Встреча 2,2024-12-10 09:00:00,Описание встречи 2,Санкт-Петербург
24,3,Встреча 3,2024-12-15 09:00:00,Описание встречи 3,Новосибирск
25,4,Встреча 4,2024-12-20 09:00:00,Описание встречи 4,Екатеринбург
26,5,Встреча 5,2024-12-25 09:00:00,Описание встречи 5,Казань
27,6,Встреча 6,2024-12-30 09:00:00,Описание встречи 6,Москва
28,7,Встреча 7,2025-01-04 09:00:00,Описание встречи 7,Санкт-Петербург
29,8,Встреча 8,2025-01-09 09:00:00,Описание встречи 8,Новосибирск
30,9,Событие 9,2025-03-31 10:00:00,Описание 9,Екатеринбург
31,10,Событие 10,2025-04-10 10:00:00,Описание 10,Казань
